,tic_tess_id,tic_ra,tic_dec,tic_Tmag,bjd0,period,morph_coeff
271,67686556,63.0368726701082,-10.4694427244437,7.973,1438.0507318905616,0.3215666466106011,0.7348393
272,255682622,98.5819943132857,-48.555502526801,8.8944,1468.563027657878,0.3215755705708705,0.95346797
283,23559851,169.268246854255,-35.1508034571772,9.2326,1544.6270415900683,0.324813686480097,0.61146843
285,52368472,24.0036986932124,-66.7265722782334,8.932,1325.41708505174,0.3259717999583767,0.8072889
286,120016,222.577327866056,-24.4277361817377,7.512,1600.0786615958646,0.3263707518690648,0.8491125
305,178859380,194.707132408964,-36.9758248200541,9.0902,1570.979531869223,0.3307901909355493,0.7464159
309,50273697,30.0836751181223,-74.3325867809215,9.3268,1325.2636803481587,0.3320698667833369,0.9768652
310,237915523,56.1855568954798,-61.0982561095492,8.9805,1325.78162026542,0.3322736052074834,0.79706156
314,124205037,196.990514484301,-31.0133501363547,9.75935,1570.9860267987883,0.3327344881208199,0.7941434
319,296449358,141.40132606055,-53.2518319267129,6.421,1544.1735276987336,0.3351378617715071,0.94346094
322,36883123,43.3950411004922,-9.20801741071694,9.13043,1411.0491075945126,0.3352717948855966,0.7441058
325,175458611,350.809694478376,-37.5155690044911,8.9657,1354.2975150530924,0.3360290280333521,0.75693107
341,166660531,207.982245650572,-36.6235649320976,7.9108,1600.282616217244,0.3431741755458796,0.76599896
342,141606986,88.7529558837058,-72.6933413656716,9.939,1325.4675797966818,0.3438410600120637,0.73105454
353,139700621,322.632402355312,-53.1082618678825,9.6564,1325.5567629842203,0.3467936647209978,0.76325655
359,21442712,85.4065546595716,-38.3736036492393,9.3953,1438.3362158188074,0.3495389941181931,0.9505813
360,229143092,26.5217906067898,-49.568266523923,9.7236,1354.3220951577546,0.3510340362337016,0.92068374
367,159493588,220.197548574256,-37.4215226056538,8.8384,1599.9992352582178,0.3534061743984407,0.76861644
373,157788279,173.341847375335,-14.4611476844268,9.9134,1546.7026464644923,0.3552451736525712,0.85924494
374,410299018,149.779700488994,-22.1420093882758,9.58914,1544.430812157555,0.3558795482174454,0.9977869
376,40534599,174.67503372945,-15.3125073972333,9.8895,1544.5095063954234,0.3567582450226799,0.793396
378,206912019,242.63390483199,-54.3337132374568,9.6386,1624.9207703728423,0.3572645721625835,0.91274047
381,235000061,351.065056,-62.368523,8.001,1325.3459102563247,0.3577152504448284,0.77739704
382,235000060,351.064934095905,-62.36923582284,9.4686,1325.3458772283232,0.3577153550407225,0.7823588
384,467167691,167.864156282638,-65.6298756140442,9.3037,1569.7737828540671,0.3594030063528191,0.93253195
390,22457438,186.889632,-18.608055,9.305,1571.2830048185044,0.3606758350340487,0.7169529
395,207085748,23.137217487948,-49.5281363477071,7.2685,1354.3293473351555,0.3623788983751648,0.74146044
409,47831368,221.5793152629,-35.6962791211763,9.124,1600.0954554267726,0.3659521409017606,0.83488595
411,292474331,281.740371468559,-71.4473520730434,9.9384,1654.2686942700727,0.3666916569234816,0.92089057
414,448913059,214.464346700548,-68.0470199710236,7.0123,1599.7044405458698,0.3677721821683337,0.98559415
427,157175641,175.700338911861,-35.8159731246919,8.9234,1570.7783689522375,0.3702376695831755,0.78902924
440,53842685,327.646561616779,-27.809855104479,8.87835,1326.0553543884726,0.3738842443673257,0.96091104
449,89428764,323.038979332918,-34.7142719093105,9.9016,1325.5151490019573,0.3766094601505949,0.8409549000000001
464,24733359,141.909969111116,-35.0073764773164,6.4281,1517.6515372585754,0.3785419120915904,0.9028193
469,336931938,214.969251313054,-63.8031623478613,9.3849,1626.1038892318006,0.3798720198384211,0.7877505
470,340782794,19.1586273472239,-39.7087036585387,9.8719,1354.5831150923923,0.3799152369193763,0.75045776
475,437230910,164.777187935787,-21.7049173873767,8.96555,1544.3396868266464,0.3805169757094298,0.36949676
477,276836579,272.496385,-81.417526,7.229,1625.1648129237326,0.3814964875930503,0.7684648000000001
478,141332108,45.6761989156867,-7.68547924726121,4.5328,1411.1987402956763,0.3816201976376356,0.7086373
488,47309500,231.035360080798,-56.8374337291272,9.6691,1625.1236633687322,0.3868074770309047,0.7731526
495,1630438,188.135358103416,-15.5229164673823,9.893,1571.250525732968,0.3905230804539529,0.9888965
506,152362660,65.2618296721702,-26.4909872773983,9.5864,1438.3914785008049,0.3958654504649213,0.8405558000000001
508,339752629,279.823261640553,-47.372101578917,9.9048,1657.6275614130805,0.3974210136635157,0.8648138000000001
509,13135572,76.7373622527322,-29.6024704753511,9.39965,1438.0711946033573,0.3983886112309989,0.7393439
512,118271404,272.086535076926,-56.7584689937239,8.804,1654.076981303783,0.3997520067608708,0.85096276
513,118271395,272.094477179471,-56.7671668711296,8.2722,1654.0758836051086,0.3997855412253419,0.8482677
517,129781743,36.2480365707731,-38.6881210521126,8.901,1386.021825519964,0.4024899998847678,0.7499325
536,422327572,203.192295,-17.758987,7.887,1570.861986625226,0.4095596082232726,0.8574891
538,453784977,199.205686620787,-45.8169759065043,9.202,1598.5138163387126,0.4097216011611807,0.7755358
540,115105140,316.495787944998,-36.2594404247101,7.3476,1325.5375830916605,0.4106860021404643,0.7660544
546,119159743,275.541284196115,-55.5642021707631,7.6005,1654.253587110135,0.4119512464853116,0.84873056
548,394699148,58.3332962161309,-79.8097797377002,8.6366,1325.3233056729111,0.4124419124389755,0.9344624
551,120607386,4.69111965802664,-39.6772618112573,8.8601,1354.1959145088367,0.4136143780040994,0.8779197
560,31655792,46.5718841488599,-68.2082385332706,8.9656,1325.562308939492,0.4161053437635878,0.7877821999999999
